gene_id,transcript_1,transcript_2,prop_ER_similar,flag_IR
FBgn0030089,T1,FBtr0071295,0.8125,0
FBgn0030089,T1,FBtr0071296,0.933333333333333,0
FBgn0030089,T1,FBtr0071297,0.764705882352941,0
FBgn0030089,T1,FBtr0071298,0.8125,0
FBgn0030089,T1,FBtr0112965,0.8125,0
FBgn0030089,T1,FBtr0309254,0.866666666666667,0
FBgn0030089,T1,FBtr0309255,0.764705882352941,0
FBgn0030089,T1,FBtr0333808,0.8125,0
FBgn0030089,FBtr0071295,FBtr0071296,0.764705882352941,0
FBgn0030089,FBtr0071295,FBtr0071297,0.9375,0
FBgn0030089,FBtr0071295,FBtr0071298,1,0
FBgn0030089,FBtr0071295,FBtr0112965,1,0
FBgn0030089,FBtr0071295,FBtr0309254,0.933333333333333,0
FBgn0030089,FBtr0071295,FBtr0309255,0.9375,0
FBgn0030089,FBtr0071295,FBtr0333808,1,0
FBgn0030089,FBtr0071296,FBtr0071297,0.823529411764706,0
FBgn0030089,FBtr0071296,FBtr0071298,0.764705882352941,0
FBgn0030089,FBtr0071296,FBtr0112965,0.764705882352941,0
FBgn0030089,FBtr0071296,FBtr0309254,0.8125,0
FBgn0030089,FBtr0071296,FBtr0309255,0.823529411764706,0
FBgn0030089,FBtr0071296,FBtr0333808,0.764705882352941,0
FBgn0030089,FBtr0071297,FBtr0071298,0.9375,0
FBgn0030089,FBtr0071297,FBtr0112965,0.9375,0
FBgn0030089,FBtr0071297,FBtr0309254,0.875,0
FBgn0030089,FBtr0071297,FBtr0309255,1,0
FBgn0030089,FBtr0071297,FBtr0333808,0.9375,0
FBgn0030089,FBtr0071298,FBtr0112965,1,0
FBgn0030089,FBtr0071298,FBtr0309254,0.933333333333333,0
FBgn0030089,FBtr0071298,FBtr0309255,0.9375,0
FBgn0030089,FBtr0071298,FBtr0333808,1,0
FBgn0030089,FBtr0112965,FBtr0309254,0.933333333333333,0
FBgn0030089,FBtr0112965,FBtr0309255,0.9375,0
FBgn0030089,FBtr0112965,FBtr0333808,1,0
FBgn0030089,FBtr0309254,FBtr0309255,0.875,0
FBgn0030089,FBtr0309254,FBtr0333808,0.933333333333333,0
FBgn0030089,FBtr0309255,FBtr0333808,0.9375,0
